,SubNum,Include,level_0,index,trial_type,trial_index,time_elapsed,rt,response,control_level,task_id,screen_id,difference,Key_Release_sim_x,Key_Release_sim_y,Key_Release_p1_x,Key_Release_p1_y,Correlation_x,Correlation_y,block
14,3,1,14,93,html-slider-response,93,579810,10892.0,2.0,0.2,question_agency,question_agency_line_inverted,-18.0,5.0,9.0,8.0,7.0,0.1663586647610131,-0.15152054394549055,3
10,3,1,10,127,html-slider-response,127,737801,4263.0,0.0,0.2,question_agency,question_agency_line_inverted,-20.0,8.0,8.0,17.0,16.0,0.14927215510242053,-0.2753874310068199,4
12,3,1,12,167,html-slider-response,167,923841,9010.0,1.0,0.2,question_agency,question_agency_line_inverted,-19.0,10.0,8.0,9.0,12.0,0.2415841788909618,-0.2577295693172466,5
18,3,1,18,31,html-slider-response,31,260691,7526.0,29.0,0.3,question_agency,question_agency_line_inverted,-1.0,7.0,6.0,9.0,8.0,-0.06346637733809356,0.240584427833523,1
15,3,1,15,59,html-slider-response,59,407547,3481.0,59.0,0.3,question_agency,question_agency_line_inverted,29.0,6.0,6.0,5.0,10.0,-0.022607353104014148,0.37182446223145904,2
19,3,1,19,105,html-slider-response,105,636581,5553.0,2.0,0.3,question_agency,question_agency_line_inverted,-28.0,7.0,9.0,16.0,7.0,0.13733848465348786,0.11266706242027025,3
16,3,1,16,151,html-slider-response,151,849184,4218.0,36.0,0.3,question_agency,question_agency_line_inverted,6.0,9.0,7.0,5.0,6.0,0.05746612912164465,0.28111060478594246,4
17,3,1,17,164,html-slider-response,164,905824,3569.0,2.0,0.3,question_agency,question_agency_line_inverted,-28.0,4.0,5.0,12.0,12.0,0.15844857393344677,-0.1996528837882335,5
23,3,1,23,22,html-slider-response,22,214580,9511.0,15.0,0.4,question_agency,question_agency_line_inverted,-25.0,6.0,5.0,7.0,22.0,0.1516954979338643,-0.39140666186998335,1
24,3,1,24,65,html-slider-response,65,441266,10120.0,76.0,0.4,question_agency,question_agency_line_inverted,36.0,6.0,8.0,10.0,7.0,0.24212385808076584,0.2669117898762711,2
22,3,1,22,111,html-slider-response,111,665693,5365.0,10.0,0.4,question_agency,question_agency_line_inverted,-30.0,7.0,4.0,10.0,9.0,0.357119014625294,-0.10745133209994899,3
20,3,1,20,133,html-slider-response,133,765513,5360.0,65.0,0.4,question_agency,question_agency_line_inverted,25.0,9.0,6.0,10.0,11.0,0.17106229480779497,0.382620765968742,4
21,3,1,21,170,html-slider-response,170,937432,4581.0,0.0,0.4,question_agency,question_agency_line_inverted,-40.0,6.0,7.0,14.0,20.0,-0.032991677475822795,0.07369757323416097,5
29,3,1,29,49,html-slider-response,49,348834,4712.0,9.0,0.5,question_agency,question_agency_line_inverted,-41.0,5.0,9.0,5.0,18.0,0.3004607396624791,-0.12998043980499097,1
28,3,1,28,83,html-slider-response,83,525572,8043.0,9.0,0.5,question_agency,question_agency_line_inverted,-41.0,9.0,7.0,6.0,9.0,-0.06533610680340168,-0.4942617870687213,2
25,3,1,25,120,html-slider-response,120,707584,6077.0,16.0,0.5,question_agency,question_agency_line_inverted,-34.0,7.0,8.0,12.0,11.0,-0.0278803371650952,-0.06961768003060961,3
26,3,1,26,154,html-slider-response,154,862667,4476.0,72.0,0.5,question_agency,question_agency_line_inverted,22.0,7.0,7.0,4.0,9.0,0.1887134691695912,0.01103377379418979,4
27,3,1,27,185,html-slider-response,185,1011983,9263.0,51.0,0.5,question_agency,question_agency_line_inverted,1.0,9.0,5.0,8.0,4.0,0.37822406883036563,-0.10590367563610606,5
30,3,1,30,52,html-slider-response,52,365130,7287.0,79.0,0.6,question_agency,question_agency_line_inverted,19.0,8.0,10.0,10.0,16.0,0.10893702876670965,-0.08249989918599404,1
34,3,1,34,62,html-slider-response,62,422138,5582.0,97.0,0.6,question_agency,question_agency_line_inverted,37.0,10.0,5.0,8.0,7.0,0.038802213996080574,0.2720640159230652,2
33,3,1,33,114,html-slider-response,114,679705,4995.0,75.0,0.6,question_agency,question_agency_line_inverted,15.0,8.0,11.0,6.0,12.0,-0.1122648157530745,-0.04711170144328678,3
32,3,1,32,148,html-slider-response,148,835960,7055.0,94.0,0.6,question_agency,question_agency_line_inverted,34.0,7.0,7.0,6.0,7.0,-0.4361337165291665,-0.4494821182205472,4
31,3,1,31,158,html-slider-response,158,879865,4032.0,52.0,0.6,question_agency,question_agency_line_inverted,-8.0,6.0,9.0,9.0,4.0,0.28851285965035545,-0.1644912888721985,5
